Tower Match

X = Match with Tile from Tower
			
(#)	Hex 	Giant	Whale
1	01		X
2	02		X
3	03		X
4	04	X	
5	05	X	
6	06	X	
7	07	X	
8	08		X
9	09		X
10	0A		X
11	0B	X	X
12	0C	X	X
13	0D	X	X
14	0E	X	X
15	0F	X	X
16	10		X
17	11		X
18	12		X
19	13	X	
20	14	X	
21	15	X	X
22	16	X	X
23	17	X	X
24	18		X
25	19		X
26	1A		X
27	1B	X	X
28	1C	X	X
29	1D	X	X
30	1E	X	X
31	1F	X	X
32	20	X	
33	21	X	
34	22	X	
35	23	X	X
36	24	X	X
37	25	X	X
38	26	X	X
39	27		X
40	28		X
41	29		X
42	2A		X
43	2B	X	X
44	2C	X	X
45	2D	X	X
46	2E	X	X
47	2F		X
48	30		
49	31		
50	32		
51	33		
52	34		
53	35		
54	36		
55	37		
56	38		
57	39		
58	3A		
59	3B	X	
60	3C	X	
61	3D		
62	3E		
63	3F		
64	40	X	X
65	41		
66	42	X	
67	43	X	X
68	44	X	X
69	45	X	X
70	46	X	X
71	47		
72	48		
73	49		
74	4A		
75	4B		
76	4C		X
77	4D		X
78	4E		X
79	4F		
80	50		
81	51		
82	52		X
83	53		X
84	54		X
85	55		X
86	56		X
87	57		X
88	58		
89	59		
90	5A		
91	5B		X
92	5C		X
93	5D		X
94	5E		X
95	5F		X
96	60		X
97	61		X
98	62		X
99	63		X
100	64		
101	65		
102	66		
103	67		
104	68		
105	69		
106	6A		
107	6B		
108	6C		
109	6D		
110	6E		
111	6F		
112	70		
113	71		
114	72		
115	73		
116	74		X
117	75	X	
118	76	X	
119	77	X	
120	78		
121	79		
122	7A		
123	7B		
124	7C		
125	7D		X
126	7E		X
127	7F	X	X
Tot	127	42	65

27 Were completely consistent
